epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9728,1.3411,2.56567,1.69935,0.18279,0.33023,0.13591,0.04184,2.34464,6.85126,3.33648,0.000651515,0.000651515,0.000651515
2,39.0998,1.72933,2.54416,2.04932,0.00994,0.21395,0.00518,0.00148,3.2082,84.2974,5.09129,0.00127468,0.00127468,0.00127468
3,57.8977,1.79277,2.59131,2.11464,0.00073,0.20465,0.00047,0.00012,nan,nan,nan,0.00185385,0.00185385,0.00185385
4,76.5847,1.79851,2.59398,2.1275,0.0494,0.13488,0.03373,0.00814,2.94437,9.13937,3.90716,0.001802,0.001802,0.001802
5,95.2729,1.7925,2.57115,2.11887,0.00444,0.46512,0.00371,0.00138,2.8881,inf,11.6188,0.001736,0.001736,0.001736
6,113.84,1.72006,2.47106,2.0403,0.13591,0.23721,0.07827,0.02363,2.70563,2.99802,3.09082,0.00167,0.00167,0.00167
7,132.578,1.66241,2.42739,1.97635,0.10982,0.20465,0.05238,0.01446,2.86547,3.57315,3.36992,0.001604,0.001604,0.001604
8,151.274,1.55582,2.40053,1.91511,0.12485,0.22326,0.08912,0.0319,2.16035,3.41614,2.73608,0.001538,0.001538,0.001538
9,169.79,1.48456,2.25813,1.83806,0.19581,0.32093,0.18884,0.06597,2.03635,2.80744,2.47148,0.001472,0.001472,0.001472
10,189.299,1.46977,2.24247,1.83987,0.27597,0.30233,0.1676,0.06394,2.04502,3.20741,2.51253,0.001406,0.001406,0.001406
11,207.811,1.50269,2.25771,1.822,0.25718,0.31163,0.20599,0.0813,1.89453,2.66017,2.21288,0.00134,0.00134,0.00134
12,227.407,1.43897,2.16123,1.77358,0.20335,0.33953,0.16377,0.06441,2.02434,2.63079,2.36204,0.001274,0.001274,0.001274
13,246.095,1.40853,2.15247,1.76217,0.35767,0.25581,0.2167,0.09716,1.9251,2.62886,2.36857,0.001208,0.001208,0.001208
14,265.786,1.40431,2.17394,1.77967,0.28735,0.28372,0.20084,0.07074,1.9556,2.65523,2.31123,0.001142,0.001142,0.001142
15,284.364,1.35911,2.0854,1.73736,0.30864,0.35814,0.23775,0.10162,1.76688,2.57683,2.2509,0.001076,0.001076,0.001076
16,303.693,1.31924,2.03455,1.70548,0.33065,0.3814,0.26133,0.11267,1.79208,2.32864,2.12311,0.00101,0.00101,0.00101
17,322.997,1.33091,2.05049,1.71626,0.26959,0.36744,0.22952,0.09894,1.89686,2.54344,2.29847,0.000944,0.000944,0.000944
18,341.667,1.33999,2.04008,1.68352,0.27854,0.38605,0.26032,0.12222,1.63777,2.33461,1.98076,0.000878,0.000878,0.000878
19,361.126,1.28141,2.06397,1.65443,0.35723,0.39535,0.31901,0.14872,1.64415,2.30155,1.99519,0.000812,0.000812,0.000812
20,380.66,1.2632,2.0105,1.65709,0.3059,0.37674,0.28312,0.12266,1.69066,2.30855,1.99455,0.000746,0.000746,0.000746
21,425.107,1.39798,2.13932,1.85649,0.3704,0.40465,0.30522,0.14984,1.58733,2.2568,1.94649,0.00068,0.00068,0.00068
22,443.653,1.37454,1.99862,1.83356,0.33152,0.39535,0.2821,0.14245,1.5583,2.21653,1.89692,0.000614,0.000614,0.000614
23,462.01,1.31651,1.97167,1.76424,0.35055,0.42791,0.30427,0.16206,1.5757,2.18251,1.91437,0.000548,0.000548,0.000548
24,481.294,1.3057,1.90086,1.74062,0.34614,0.42791,0.32949,0.18327,1.44941,2.07892,1.79887,0.000482,0.000482,0.000482
25,500.562,1.26398,1.88606,1.70973,0.34786,0.48132,0.33237,0.16489,1.55743,2.11363,1.88243,0.000416,0.000416,0.000416
26,519.251,1.22932,1.86869,1.69133,0.42159,0.46047,0.35394,0.20221,1.40634,2.06553,1.7894,0.00035,0.00035,0.00035
27,538.706,1.19696,1.83159,1.67151,0.42985,0.45585,0.37888,0.22005,1.35985,1.98202,1.72453,0.000284,0.000284,0.000284
28,558.222,1.13463,1.79273,1.61039,0.36029,0.44651,0.34913,0.20735,1.40558,2.07879,1.76633,0.000218,0.000218,0.000218
29,576.777,1.13389,1.74016,1.59504,0.39086,0.48837,0.36257,0.21344,1.3634,1.97944,1.73032,0.000152,0.000152,0.000152
30,595.513,1.11262,1.69707,1.57516,0.44222,0.47907,0.38414,0.22515,1.35695,1.94009,1.70664,8.6e-05,8.6e-05,8.6e-05
