epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.97018,1.35779,3.78147,1.84582,0.15518,0.27273,0.14102,0.06469,1.36354,2.49625,1.95875,0.00042,0.00042,0.00042
2,20.8751,1.07396,2.27726,1.56861,0.29979,0.30303,0.22868,0.13673,1.45664,2.78983,2.02041,0.00083162,0.00083162,0.00083162
3,31.956,1.19385,2.16549,1.61455,0.33769,0.24242,0.15914,0.08458,2.00935,3.6024,2.51017,0.0012142,0.0012142,0.0012142
4,41.7271,1.24006,2.17955,1.69377,0.17925,0.32439,0.13665,0.03577,2.8168,3.81046,3.51427,0.00156774,0.00156774,0.00156774
5,51.6951,1.28797,2.33223,1.70479,0.16534,0.24242,0.10361,0.02724,2.64872,3.1641,3.12466,0.001736,0.001736,0.001736
6,61.5149,1.26574,2.26819,1.63789,0.22962,0.18182,0.1341,0.05302,2.75677,3.52457,3.42424,0.00167,0.00167,0.00167
7,71.6342,1.29426,2.10416,1.67343,0.13769,0.27273,0.07939,0.02758,2.70064,2.86535,3.34811,0.001604,0.001604,0.001604
8,81.4313,1.28806,2.11594,1.67179,0.22589,0.18182,0.1133,0.05434,2.48032,2.98672,3.14321,0.001538,0.001538,0.001538
9,91.1466,1.32281,2.37714,1.69139,0.07329,0.24242,0.0714,0.02734,2.21115,3.05572,2.63667,0.001472,0.001472,0.001472
10,101.03,1.23843,2.19758,1.6656,0.29286,0.24242,0.19624,0.07787,2.46368,4.76282,3.10436,0.001406,0.001406,0.001406
11,110.718,1.27237,2.27568,1.64044,0.14546,0.39394,0.12167,0.05052,2.10799,2.68258,2.58406,0.00134,0.00134,0.00134
12,120.624,1.1793,2.06333,1.61151,0.1752,0.33333,0.13385,0.06979,1.99871,3.67349,2.58162,0.001274,0.001274,0.001274
13,130.442,1.191,2.07951,1.62142,0.22958,0.24242,0.16297,0.07267,2.08101,3.29572,2.66356,0.001208,0.001208,0.001208
14,140.354,1.10747,1.91947,1.49798,0.23414,0.40775,0.14802,0.06982,1.74737,2.72408,2.26016,0.001142,0.001142,0.001142
15,150.273,1.03789,1.91542,1.44392,0.19629,0.27273,0.09389,0.03631,1.85099,3.30268,2.24783,0.001076,0.001076,0.001076
16,160.026,1.07926,2.05004,1.56356,0.23099,0.39394,0.1635,0.07393,1.70072,2.86073,2.18656,0.00101,0.00101,0.00101
17,169.859,1.07563,1.90006,1.48775,0.20166,0.48485,0.22217,0.1077,1.74205,3.20169,2.18857,0.000944,0.000944,0.000944
18,179.628,1.05011,1.83943,1.48115,0.32497,0.48485,0.26435,0.14587,1.94063,2.82708,2.51091,0.000878,0.000878,0.000878
19,190.281,1.00298,1.73082,1.41062,0.27363,0.48485,0.21966,0.11186,1.84012,2.69885,2.33841,0.000812,0.000812,0.000812
20,200.057,1.01646,1.72117,1.44277,0.25003,0.30303,0.16028,0.07739,1.96427,2.85204,2.26539,0.000746,0.000746,0.000746
21,235.847,1.20738,2.07948,1.7865,0.27531,0.45455,0.20355,0.07458,2.24293,2.75824,2.64487,0.00068,0.00068,0.00068
22,245.658,0.94927,1.61422,1.53191,0.17823,0.36811,0.17006,0.08049,1.78675,2.9039,2.26883,0.000614,0.000614,0.000614
23,255.369,0.81517,1.42854,1.46602,0.26975,0.45455,0.24585,0.13181,1.77373,2.64506,2.21308,0.000548,0.000548,0.000548
24,265.426,0.85342,1.4716,1.43324,0.36128,0.36364,0.25212,0.14971,1.59065,2.61978,2.05134,0.000482,0.000482,0.000482
25,276.14,0.85082,1.46009,1.43102,0.29937,0.36364,0.30075,0.1718,1.54808,2.37348,2.02381,0.000416,0.000416,0.000416
26,286.778,0.94692,1.26938,1.55861,0.30229,0.60606,0.27119,0.13994,1.47922,2.42272,1.94407,0.00035,0.00035,0.00035
27,296.609,0.85177,1.29551,1.41755,0.24557,0.51295,0.26889,0.14065,1.53984,2.46958,2.02564,0.000284,0.000284,0.000284
28,306.337,0.76644,1.16448,1.36049,0.27233,0.42424,0.25193,0.12474,1.48555,2.52655,1.94361,0.000218,0.000218,0.000218
29,316.207,0.80709,1.24251,1.39497,0.27624,0.48485,0.27942,0.13801,1.41703,2.33442,1.8801,0.000152,0.000152,0.000152
30,326.056,0.80186,1.22373,1.36041,0.32507,0.54545,0.29968,0.15052,1.4027,2.24487,1.86178,8.6e-05,8.6e-05,8.6e-05
