                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.831,                 2.7688,                 1.9646,                0.31509,                0.30392,                0.29998,                0.12561,                  2.139,                 3.5948,                 2.2776,                0.00032,                0.00032,                0.00032
                      2,                 1.5337,                 1.8806,                 1.6421,                0.54179,                0.51961,                0.48153,                0.21781,                 1.8594,                 2.4499,                 1.9742,             0.00063822,             0.00063822,             0.00063822
                      3,                 1.5306,                 1.6847,                 1.5869,                0.59089,                0.56863,                 0.5595,                0.25077,                 1.7725,                 2.7531,                 1.9424,               0.000934,               0.000934,               0.000934
                      4,                 1.4448,                 1.5505,                 1.5037,                0.55347,                0.61765,                0.56944,                0.26935,                 1.7382,                 1.9792,                  1.869,              0.0012073,              0.0012073,              0.0012073
                      5,                 1.4558,                 1.4742,                 1.5286,                0.64472,                0.55882,                0.60975,                0.26935,                 1.8258,                 1.9185,                 1.9673,              0.0014582,              0.0014582,              0.0014582
                      6,                 1.3998,                 1.4213,                 1.5043,                0.72458,                0.52941,                0.58725,                0.27728,                 1.6826,                 2.1816,                 1.8675,                0.00167,                0.00167,                0.00167
                      7,                 1.4123,                 1.4073,                 1.4757,                0.50226,                0.59804,                0.57936,                 0.2897,                 1.6378,                 1.8001,                  1.729,               0.001604,               0.001604,               0.001604
                      8,                 1.4208,                 1.3428,                 1.4505,                0.56794,                0.68305,                0.63365,                0.34666,                 1.5298,                  1.708,                 1.6781,               0.001538,               0.001538,               0.001538
                      9,                 1.3002,                 1.2552,                 1.4051,                0.68924,                0.71569,                0.73388,                0.37927,                 1.6531,                 1.4125,                 1.6748,               0.001472,               0.001472,               0.001472
                     10,                 1.2879,                 1.2397,                  1.396,                0.79683,                0.63725,                 0.7158,                0.39817,                 1.5224,                 1.3755,                  1.645,               0.001406,               0.001406,               0.001406
                     11,                 1.2554,                 1.2184,                 1.3924,                0.80555,                0.68627,                0.75199,                0.42783,                 1.4435,                 1.2562,                 1.5613,                0.00134,                0.00134,                0.00134
                     12,                 1.2819,                 1.2183,                  1.389,                0.89217,                0.64893,                0.77414,                0.43489,                 1.4846,                  1.253,                 1.5124,               0.001274,               0.001274,               0.001274
                     13,                 1.2887,                 1.2263,                 1.3797,                0.77126,                0.73529,                0.79192,                0.43431,                 1.4308,                 1.2057,                 1.5026,               0.001208,               0.001208,               0.001208
                     14,                 1.2153,                 1.1277,                 1.3425,                0.89694,                 0.6826,                0.82008,                0.47334,                 1.3971,                 1.1964,                 1.4997,               0.001142,               0.001142,               0.001142
                     15,                 1.1834,                 1.1021,                 1.3134,                0.78634,                0.72165,                0.77833,                0.47463,                 1.3804,                 1.1561,                 1.5084,               0.001076,               0.001076,               0.001076
                     16,                 1.1997,                 1.0433,                 1.2882,                0.92954,                0.64668,                0.80272,                  0.495,                 1.3602,                 1.0825,                 1.4694,                0.00101,                0.00101,                0.00101
                     17,                 1.1424,                 1.0399,                 1.2971,                0.84256,                0.66667,                0.78409,                0.49551,                 1.3711,                 1.1598,                 1.5176,               0.000944,               0.000944,               0.000944
                     18,                 1.0925,                  1.011,                 1.2612,                0.81247,                0.71569,                0.82335,                0.50085,                 1.4316,                 1.0854,                 1.5262,               0.000878,               0.000878,               0.000878
                     19,                 1.0549,                0.97293,                 1.2187,                0.83579,                0.73529,                0.83437,                0.53633,                 1.3324,                 1.0014,                 1.4505,               0.000812,               0.000812,               0.000812
                     20,                 1.1106,                0.96956,                 1.2719,                0.90304,                0.73053,                0.85324,                0.52606,                  1.325,                0.98465,                 1.4537,               0.000746,               0.000746,               0.000746
                     21,                  1.067,                0.96028,                 1.2491,                0.89007,                 0.7451,                0.84744,                0.52706,                 1.3606,                0.99156,                 1.4797,                0.00068,                0.00068,                0.00068
                     22,                 1.0408,                0.89756,                 1.2181,                0.87155,                0.73174,                0.84403,                0.52956,                  1.326,                0.99714,                 1.4208,               0.000614,               0.000614,               0.000614
                     23,                 1.0124,                0.82852,                 1.2282,                0.86804,                0.72549,                0.82601,                0.51031,                 1.3798,                 1.0178,                 1.4495,               0.000548,               0.000548,               0.000548
                     24,                0.97756,                0.76195,                 1.1836,                0.83079,                0.81835,                0.85873,                0.55653,                 1.2789,                0.92035,                   1.38,               0.000482,               0.000482,               0.000482
                     25,                 0.9321,                 0.7428,                 1.1586,                0.88801,                0.78431,                0.86295,                0.56056,                 1.2543,                0.87799,                 1.3723,               0.000416,               0.000416,               0.000416
                     26,                0.96409,                0.72469,                 1.1824,                0.86117,                0.79063,                0.87921,                0.58557,                 1.2536,                0.85126,                 1.3613,                0.00035,                0.00035,                0.00035
                     27,                 0.8956,                0.70558,                 1.1563,                 0.8739,                0.83333,                0.88672,                0.59184,                 1.2571,                0.81421,                 1.3625,               0.000284,               0.000284,               0.000284
                     28,                0.87855,                0.67397,                 1.1208,                0.87754,                0.83333,                0.89854,                0.59258,                 1.2408,                0.82296,                 1.3364,               0.000218,               0.000218,               0.000218
                     29,                0.88534,                0.67209,                 1.1133,                0.85731,                0.82467,                0.88644,                0.57941,                 1.2587,                0.83193,                 1.3353,               0.000152,               0.000152,               0.000152
                     30,                0.86377,                 0.6713,                  1.103,                 0.8577,                0.82733,                0.89401,                0.59689,                 1.2434,                0.82115,                 1.3269,                8.6e-05,                8.6e-05,                8.6e-05
